Date,Region,Home Type,Homes Sold,Avg Sale Price ($),Material Cost Index,Construction Cycle Time (Days),Supply Index,Demand Index
4/30/2023,Orlando,Townhouse,468,631839,112.361212,156,1.071473025,1.027755397
5/31/2023,Orlando,Luxury Home,338,469536,113.681488,154,1.240973861,1.275962504
6/30/2023,Orlando,Luxury Home,428,517824,140.6527884,122,1.267194853,1.467406059
7/31/2023,Orlando,Single-Family,310,457426,145.8010101,129,1.322790352,1.576118953
8/31/2023,Orlando,Single-Family,280,377789,94.22496785,163,1.244211657,1.205281489
9/30/2023,Orlando,Luxury Home,90,,102.5351231,132,1.181039427,1.626300557
10/31/2023,Orlando,Townhouse,77,325657,130.268611,133,0.737506471,1.545809515
11/30/2023,Orlando,Townhouse,184,435167,111.5188069,118,0.900222893,0.772859576
12/31/2023,Orlando,Single-Family,250,680671,105.2498189,102,0.977714891,0.750447393
1/31/2024,Orlando,Luxury Home,377,270467,107.7174353,101,0.582891322,1.382886253
2/29/2024,Orlando,Single-Family,317,383734,109.3530459,135,1.028370121,1.082154749
3/31/2024,Orlando,Single-Family,467,309751,140.9201877,91,0.936335832,0.93004387
4/30/2024,Orlando,Condo,82,581050,98.19727989,124,1.302109249,1.337614928
5/31/2024,Orlando,Condo,97,661079,132.5346598,176,1.477900669,1.075719532
6/30/2024,Orlando,Condo,456,568452,123.1691986,170,1.056005039,1.290989758
7/31/2024,Orlando,Townhouse,111,306081,107.7906086,179,0.822686388,1.206131075
8/31/2024,Orlando,Luxury Home,265,758986,115.1868514,97,0.543400783,1.343242717
9/30/2024,Orlando,Luxury Home,342,310078,105.3724166,115,1.42464333,1.140330538
10/31/2024,Orlando,Luxury Home,148,222671,126.6908227,163,1.419115715,1.467434331
11/30/2024,Orlando,Luxury Home,221,618400,94.89565082,179,0.752990168,0.898074
12/31/2024,Orlando,Condo,409,555528,90.31109177,123,1.195411123,1.466151613
1/31/2023,Tampa,Townhouse,263,251663,127.6736649,96,0.575434547,1.152827336
2/28/2023,Tampa,Townhouse,84,215708,101.6564372,157,0.666215432,1.661749365
3/31/2023,Tampa,Condo,498,511955,94.25645502,147,0.716809107,1.26675966
4/30/2023,Tampa,Townhouse,276,333883,113.8070296,164,0.794493947,1.770421384
5/31/2023,Tampa,Condo,150,518394,93.04611186,118,1.495831375,1.362128935
6/30/2023,Tampa,Luxury Home,480,312547,143.1970289,125,1.196925056,0.946233972
7/31/2023,Tampa,Condo,180,759042,91.65700631,178,0.884201831,
8/31/2023,Tampa,Luxury Home,306,342483,124.7318937,110,1.237100706,1.079590891
9/30/2023,Tampa,Luxury Home,54,414835,116.3084474,125,1.415254342,1.082381136
10/31/2023,Tampa,Single-Family,267,601896,130.3215681,99,1.458702407,0.73498515
11/30/2023,Tampa,Condo,304,284896,,162,0.557863898,1.30358684
12/31/2023,Tampa,Single-Family,447,677095,99.302497,113,0.894521799,1.287865854
1/31/2024,Tampa,Condo,408,271295,148.9104533,153,0.606756066,1.091590633
2/29/2024,Tampa,Condo,332,473255,140.3360101,138,0.835660065,1.683638989
3/31/2024,Tampa,Single-Family,442,499648,141.6242771,125,0.669679904,0.841623238
4/30/2024,Tampa,Single-Family,256,208155,105.0150816,171,1.146848362,1.063109465
5/31/2024,Tampa,Condo,64,666872,92.33008407,113,0.888268384,1.053741041
6/30/2024,Tampa,Townhouse,395,574705,108.1959309,112,0.729394746,0.801519645
7/31/2024,Tampa,Luxury Home,91,771542,122.2249456,151,0.765937925,1.229259933
8/31/2024,Tampa,Single-Family,429,754594,109.5990745,126,0.860345095,1.456563189
9/30/2024,Tampa,Luxury Home,228,347718,139.6721402,101,0.759949863,1.262822715
10/31/2024,Tampa,Townhouse,112,508987,,144,0.953240847,0.872675451
11/30/2024,Tampa,Townhouse,401,558745,147.9151098,102,0.532315951,1.115014562
12/31/2024,Tampa,Townhouse,280,307512,117.4359097,112,0.779763507,0.702854527
1/31/2023,Jacksonville,Single-Family,290,347443,140.5213845,178,0.911206721,1.655131218
2/28/2023,Jacksonville,Townhouse,101,670587,101.662802,119,1.102781882,0.792968708
3/31/2023,Jacksonville,Single-Family,145,573616,114.6812343,106,0.770957643,1.35700589
4/30/2023,Jacksonville,Townhouse,437,565871,131.9707326,151,0.633185125,1.784882695
5/31/2023,Jacksonville,Luxury Home,271,575037,98.30118555,173,0.57620038,1.290249711
6/30/2023,Jacksonville,Luxury Home,456,317796,97.96472533,178,1.440531827,1.716445935
7/31/2023,Jacksonville,Condo,280,491999,148.172212,175,0.916639058,0.959728186
8/31/2023,Jacksonville,Luxury Home,286,392506,132.8757063,102,1.081162621,1.53595095
9/30/2023,Jacksonville,Condo,192,469544,92.46405101,148,1.419176552,1.284392329
10/31/2023,Jacksonville,Luxury Home,220,580002,113.9292541,108,0.58274842,1.492567668
11/30/2023,Jacksonville,Single-Family,78,739439,116.0112443,138,1.376661486,0.768575499
12/31/2023,Jacksonville,Luxury Home,85,790978,134.6425586,101,1.051587873,0.862513001
1/31/2024,Jacksonville,Condo,62,728787,105.0516316,150,0.664834261,0.846428621
2/29/2024,Jacksonville,Condo,209,730583,101.0600205,108,0.911255117,1.455882056
3/31/2024,Jacksonville,Townhouse,376,588215,94.852378,165,1.277602284,1.62888474
4/30/2024,Jacksonville,Single-Family,236,521184,115.6988685,98,0.980370082,1.524577855
5/31/2024,Jacksonville,Luxury Home,292,622515,131.309994,160,1.485286051,0.733519368
6/30/2024,Jacksonville,Townhouse,135,578480,93.49161573,117,0.87673897,1.653936479
7/31/2024,Jacksonville,Luxury Home,333,232711,144.9128237,167,1.2495783,1.089561338
8/31/2024,Jacksonville,Luxury Home,115,701157,116.5411338,141,0.892989449,1.136880216
9/30/2024,Jacksonville,Townhouse,219,384423,104.3872415,172,1.329164221,0.815356083
10/31/2024,Jacksonville,Townhouse,94,716349,95.6323974,105,,1.511145727
11/30/2024,Jacksonville,Townhouse,111,333272,100.9719598,158,0.56351183,0.900512266
12/31/2024,Jacksonville,Townhouse,490,277505,146.0768398,101,0.536821868,1.320361601
1/31/2023,Fort Lauderdale,Townhouse,183,202869,128.2962356,114,0.633852119,1.624780984
2/28/2023,Fort Lauderdale,Luxury Home,333,654351,121.0017754,141,0.513671965,0.798124762
3/31/2023,Fort Lauderdale,Townhouse,77,512252,129.4266797,174,0.57535906,1.28886912
4/30/2023,Fort Lauderdale,Single-Family,157,290272,116.1403739,142,1.191714397,0.956538053
5/31/2023,Fort Lauderdale,Condo,93,238467,133.802359,112,1.034346275,
6/30/2023,Fort Lauderdale,Townhouse,389,680047,92.86296766,105,1.249910749,1.221366936
7/31/2023,Fort Lauderdale,Townhouse,335,258871,123.9622326,146,1.413165752,1.090614734
8/31/2023,Fort Lauderdale,Luxury Home,495,328391,99.51878686,128,1.085149532,1.413705124
9/30/2023,Fort Lauderdale,Townhouse,380,639430,97.20987887,142,1.226120844,1.227540312
10/31/2023,Fort Lauderdale,Townhouse,177,456687,110.51278,131,1.257081202,1.342619433
11/30/2023,Fort Lauderdale,Townhouse,397,307450,95.50794395,147,0.877850549,1.510504723
12/31/2023,Fort Lauderdale,Luxury Home,280,371890,95.6494193,128,0.741084832,1.313516493
1/31/2024,Fort Lauderdale,Townhouse,239,638741,108.6847986,103,0.705045329,1.345188978
2/29/2024,Fort Lauderdale,Condo,274,481974,148.7706317,94,0.75144244,1.320904397
3/31/2024,Fort Lauderdale,Luxury Home,434,600109,100.5198162,124,0.774731797,1.116649889
4/30/2024,Fort Lauderdale,Condo,426,316381,91.02966611,176,0.707227649,1.071191517
5/31/2024,Fort Lauderdale,Luxury Home,332,673125,135.8018654,164,1.378220667,1.689612137
6/30/2024,Fort Lauderdale,Townhouse,495,771621,138.4147786,107,1.256999132,1.368310745
7/31/2024,Fort Lauderdale,Condo,170,334508,110.7782593,165,,0.968788471
8/31/2024,Fort Lauderdale,Luxury Home,5,50000,50,365,3,0.1
9/30/2024,Fort Lauderdale,Single-Family,1000,2000000,200,20,0.1,3.5
10/31/2024,Fort Lauderdale,Townhouse,3,40000,45,400,3.5,0.2
11/30/2024,Fort Lauderdale,,,2500000,220,10,0.2,4
12/31/2024,Fort Lauderdale,Single-Family,2,60000,55,500,4,0.05
