Date,Region,Home Type,Homes Sold,Avg Sale Price ($),Material Cost Index,Construction Cycle Time (Days),Supply Index,Demand Index
2023-04-30,Tampa,Townhouse,276,414835,92.33008406576539,112,1.4743948076661666,1.5868214077723675
2023-05-31,Tampa,Condo,150,601896,108.19593088039338,178,1.4862107444796029,1.5230856594220241
2023-06-30,Tampa,Luxury Home,480,284896,122.22494563179933,119,1.1981617140197451,0.902973121292015
2023-07-31,Tampa,Condo,180,677095,109.59907450776245,106,1.0360963663441205,0.9302842556703813
2023-08-31,Tampa,Luxury Home,306,271295,139.6721402272553,151,0.8095276162863277,1.10751931307052
2023-09-30,Tampa,Luxury Home,54,473255,106.29257494918451,173,1.3137950197069488,1.2329752837101235
2023-10-31,Tampa,Single-Family,267,499648,147.9151098234462,178,1.1847311725538794,1.3800802486833255
2023-11-30,Tampa,Condo,304,208155,117.43590969682371,175,0.6626169393448913,1.1058050035267497
2023-12-31,Tampa,Single-Family,447,666872,140.52138450071888,102,1.4109271844938425,1.2087881877464626
2024-01-31,Tampa,Condo,408,574705,101.66280203969238,148,1.322537242923169,1.5222180319471321
2024-02-29,Tampa,Condo,332,771542,114.68123430340071,108,1.449799913291924,0.7403515231796577
2024-03-31,Tampa,Single-Family,442,754594,131.97073264603162,138,1.22571950838836,0.9776806387784228
2024-04-30,Tampa,Single-Family,256,347718,98.30118554506808,101,1.1134151959357899,1.4846845444730077
2024-05-31,Tampa,Condo,64,508987,97.96472533457819,150,0.9182430362906189,1.6847275214559194
2024-06-30,Tampa,Townhouse,395,558745,148.17221202684954,108,1.4327284833540133,1.2628451863272327
2024-07-31,Tampa,Luxury Home,91,307512,132.87570625079712,165,1.3660638895004085,1.2853248337918473
2024-08-31,Tampa,Single-Family,429,347443,92.46405100607255,98,0.5452186701061894,0.8178892124737536
2024-09-30,Tampa,Luxury Home,228,670587,113.92925408668768,160,0.526366974497252,1.1921536035058002
2024-10-31,Tampa,Townhouse,112,573616,116.01124425484453,117,0.8764633668780496,1.2858789931005254
2024-11-30,Tampa,Townhouse,401,565871,134.64255857994692,167,1.310553330781833,0.9667175539982026
2024-12-31,Tampa,Townhouse,280,575037,105.05163164079967,141,1.4872761293149446,0.9961675540443191
2023-01-31,Jacksonville,Single-Family,290,317796,101.0600204598822,172,0.6504168911035282,1.115012579415085
2023-02-28,Jacksonville,Townhouse,101,491999,94.85237799703187,105,1.0941307153521351,0.722078317555499
2023-03-31,Jacksonville,Single-Family,145,392506,115.69886849640646,158,0.8808908566310215,1.054287082141496
2023-04-30,Jacksonville,Townhouse,437,469544,131.309994045922,101,1.4699143978146032,0.9325928076961991
2023-05-31,Jacksonville,Luxury Home,271,580002,93.49161573050662,114,1.3421189231357087,1.0602470873957062
2023-06-30,Jacksonville,Luxury Home,456,739439,144.91282365758883,141,1.3383287047111379,0.8317383450011763
2023-07-31,Jacksonville,Condo,280,790978,116.54113378386626,174,0.9686931597949703,1.6795800088138844
2023-08-31,Jacksonville,Luxury Home,286,728787,104.3872415494442,142,0.9148195023376652,1.3529516989094534
2023-09-30,Jacksonville,Condo,192,730583,95.63239740487751,112,0.7734070719307062,1.4470125510589384
2023-10-31,Jacksonville,Luxury Home,220,588215,100.97195982643844,105,0.5563754966509271,1.5680883624680721
2023-11-30,Jacksonville,Single-Family,78,521184,146.07683984038258,146,1.3647223762550533,1.2482864188219631
2023-12-31,Jacksonville,Luxury Home,85,622515,128.29623563060102,128,1.3129010091300777,0.7956123168961661
2024-01-31,Jacksonville,Condo,62,578480,121.001775445594,142,1.4997176732861306,1.2908171960004027
2024-02-29,Jacksonville,Condo,209,232711,129.42667971001,131,1.4966368370739054,1.3455252298229672
2024-03-31,Jacksonville,Townhouse,376,701157,116.14037392067345,147,1.0554317056026274,1.519983421602763
2024-04-30,Jacksonville,Single-Family,236,384423,133.8023589937091,128,1.2689874151805105,1.1748255008526474
2024-05-31,Jacksonville,Luxury Home,292,716349,92.86296766149893,103,1.4447657298824281,0.8403383330751201
2024-06-30,Jacksonville,Townhouse,135,333272,123.96223262964457,94,1.3496473906774114,1.012153496378597
2024-07-31,Jacksonville,Luxury Home,333,277505,99.51878685854946,124,0.7473481017431977,1.0993905260384986
2024-08-31,Jacksonville,Luxury Home,115,202869,97.20987886833854,176,0.9505441353100935,1.4105089654647613
2024-09-30,Jacksonville,Townhouse,219,654351,110.5127800029841,164,0.629159415151495,1.3278561351358031
2024-10-31,Jacksonville,Townhouse,94,512252,95.50794394880651,107,1.4540510272587224,1.0917063984876307
2024-11-30,Jacksonville,Townhouse,111,290272,95.6494192961136,165,1.10617463445088,1.7851667736722776
2024-12-31,Jacksonville,Townhouse,490,238467,108.68479856347766,98,0.7286428055034627,1.3663523012925758
2023-01-31,Fort Lauderdale,Townhouse,183,680047,148.7706317172905,163,1.1717006844058568,0.9609494709095939
2023-02-28,Fort Lauderdale,Luxury Home,333,258871,100.51981619336031,147,1.1181282404578958,0.8119607198824441
2023-03-31,Fort Lauderdale,Townhouse,77,328391,91.02966610990501,106,0.8581627180328405,0.8681450531027652
2023-04-30,Fort Lauderdale,Single-Family,157,639430,135.80186538023466,96,0.613557592199629,0.9705535012229589
2023-05-31,Fort Lauderdale,Condo,93,456687,138.41477862304677,135,1.1715731955927997,0.8767495105855112
2023-06-30,Fort Lauderdale,Townhouse,389,307450,110.77825926536406,102,1.0203077009037933,0.9052237264564363
2023-07-31,Fort Lauderdale,Townhouse,335,371890,117.88042877637669,129,1.2723183917356393,1.013604685563232
2023-08-31,Fort Lauderdale,Luxury Home,495,638741,128.98642095856582,131,1.0201635011119934,0.8907109548242302
2023-09-30,Fort Lauderdale,Townhouse,380,481974,92.88353545182203,98,1.3521815003185402,1.6864419670890678
2023-10-31,Fort Lauderdale,Townhouse,177,600109,146.94874389548315,139,1.0519068387744857,0.7882571202278064
2023-11-30,Fort Lauderdale,Townhouse,397,316381,143.20082323788284,116,1.0609379715353864,1.27696252852728
2023-12-31,Fort Lauderdale,Luxury Home,280,673125,105.65361740050284,155,1.3766536026583451,1.1514365096886277
2024-01-31,Fort Lauderdale,Townhouse,239,771621,90.91827241742308,94,0.903482866212397,1.7806164785994671
2024-02-29,Fort Lauderdale,Condo,274,334508,146.00617848476898,118,0.6340152284506407,0.8232427923848575
2024-03-31,Fort Lauderdale,Luxury Home,434,599111,120.06239303491554,126,0.528782676313339,1.137641158950316
2024-04-30,Fort Lauderdale,Condo,426,350810,122.36264690400375,127,1.2551372556736191,1.7664174766029057
2024-05-31,Fort Lauderdale,Luxury Home,332,492890,131.03782616388847,172,1.1203095513534647,1.6520578384833784
2024-06-30,Fort Lauderdale,Townhouse,495,773665,126.95106986339482,97,1.2040797680992235,1.598779278044208
2024-07-31,Fort Lauderdale,Condo,170,560032,146.63349627364542,154,0.7129641615089107,0.9836931097494338
2024-08-31,Fort Lauderdale,Luxury Home,165,569599,146.65509582751005,175,0.6363714755867698,0.8879763461290724
2024-09-30,Fort Lauderdale,Single-Family,282,371836,142.03193601330022,106,0.5145446656678819,1.4355075419168741
2024-10-31,Fort Lauderdale,Townhouse,308,245714,128.18421584676068,160,0.850587558806597,1.7223135880403444
2024-11-30,Fort Lauderdale,Luxury Home,408,666960,138.05695768094398,178,1.089917686854633,1.3124391823153227
2024-12-31,Fort Lauderdale,Single-Family,247,324123,130.6301005429789,134,0.8922440450997323,1.3287739584168898
